Nouns,Errors_in_non_count_form,Type,Condition_label,Intervening_noun_base_form,Intervening_noun_plural_form,Intervening_noun_count_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Numeral,Condition_beginning,First_adjective,Marker_for_indefinite_form_usage_of_intervening_noun,First_position,Condition_end,Second_position,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Numeral_Type,Final_sentence,Target_noun_after_final_sentence,Audio_files_numbering,File_prefix_of_all_audio_files,All_audio_files_original_name,Path_of_audio_files_final_name,Output_audio_file_partial_filename,Number_of_words_in_condition,All_colums_with_count_forms_with_the_wrong_ending,All_colums_with_plural_forms_with_the_wrong_ending,All_columns_with_identical_plural_and_count_forms,All_columns_with_multiple_spaces,All_columns_with_a_final_space
,,target1,P1,лодка,лодки,лодки,f,pl,m,pl,Рибарите разтовариха,четири,уловени с,крайбрежни,,крайбрежните,лодки,,рак,раци,рака,,A,low,Рибарите разтовариха четири уловени с крайбрежните лодки,рак,STE-017,Targets,target_STE-017_mono.wav,Targets/mono/target_STE-017_mono.wav,target1_P1_рак_лодка_четири_крайбрежни_A,5,,,,,
,,target1,P2,лодка,лодки,лодки,f,pl,m,pl,Рибарите разтовариха,четири,уловени с,крайбрежни,,,лодките,крайбрежни,рак,раци,рака,,B,low,Рибарите разтовариха четири уловени с лодките крайбрежни,рак,STE-018,Targets,target_STE-018_mono.wav,Targets/mono/target_STE-018_mono.wav,target1_P2_рак_лодка_четири_крайбрежни_B,5,,,,,
,,target1,P1,лекарство,лекарства,лекарства,n,pl,m,pl,Ветеринарят прегледа,два,лекувани с,опасни,,опасните,лекарства,,котарак,котараци,котарака,,B,low,Ветеринарят прегледа пет лекувани с опасните лекарства,котарак,STE-019,Targets,target_STE-019_mono.wav,Targets/mono/target_STE-019_mono.wav,target1_P1_котарак_лекарство_два_опасни_B,5,,,,,
,,target1,P2,лекарство,лекарства,лекарства,n,pl,m,pl,Ветеринарят прегледа,два,лекувани с,опасни,,,лекарствата,опасни,котарак,котараци,котарака,,A,low,Ветеринарят прегледа пет лекувани с лекарствата опасни,котарак,STE-020,Targets,target_STE-020_mono.wav,Targets/mono/target_STE-020_mono.wav,target1_P2_котарак_лекарство_два_опасни_A,5,,,,,
,,target1,P1,гласуване,гласувания,гласувания,n,pl,m,pl,Депутатите измениха,три,приети след,важни,,важните,гласувания,,документ,документи,документа,,A,low,Депутатите измениха шест приети след важните гласувания,документ,STE-021,Targets,target_STE-021_mono.wav,Targets/mono/target_STE-021_mono.wav,target1_P1_документ_гласуване_три_важни_A,5,,,,,
,,target1,P2,гласуване,гласувания,гласувания,n,pl,m,pl,Депутатите измениха,три,приети след,важни,,,гласуванията,важни,документ,документи,документа,,B,low,Депутатите измениха шест приети след гласуванията важни,документ,STE-022,Targets,target_STE-022_mono.wav,Targets/mono/target_STE-022_mono.wav,target1_P2_документ_гласуване_три_важни_B,5,,,,,
,,target1,P1,изпитание,изпитания,изпитания,n,pl,m,pl,Служителите разгледаха,четири,нерешени след,трудни,,трудните,изпитания,,проблем,проблеми,проблема,,B,low,Служителите разгледаха седем нерешени след трудните изпитания,проблем,STE-023,Targets,target_STE-023_mono.wav,Targets/mono/target_STE-023_mono.wav,target1_P1_проблем_изпитание_четири_трудни_B,5,,,,,
,,target1,P2,изпитание,изпитания,изпитания,n,pl,m,pl,Служителите разгледаха,четири,нерешени след,трудни,,,изпитанията,трудни,проблем,проблеми,проблема,,A,low,Служителите разгледаха седем нерешени след изпитанията трудни,проблем,STE-024,Targets,target_STE-024_mono.wav,Targets/mono/target_STE-024_mono.wav,target1_P2_проблем_изпитание_четири_трудни_A,5,,,,,
,,target1,P1,плашило,плашила,плашила,n,pl,m,pl,Природозащитниците уловиха,пет,подплашени от,страшни,,страшните,плашила,,орел,орли,орела,орели,A,high,Природозащитниците уловиха два подплашени от страшните плашила,орел,STE-025,Targets,target_STE-025_mono.wav,Targets/mono/target_STE-025_mono.wav,target1_P1_орел_плашило_пет_страшни_A,5,,,,,
,,target1,P2,плашило,плашила,плашила,n,pl,m,pl,Природозащитниците уловиха,пет,подплашени от,страшни,,,плашилата,страшни,орел,орли,орела,орели,B,high,Природозащитниците уловиха два подплашени от плашилата страшни,орел,STE-026,Targets,target_STE-026_mono.wav,Targets/mono/target_STE-026_mono.wav,target1_P2_орел_плашило_пет_страшни_B,5,,,,,
,,target1,P1,завоевание,завоевания,завоевания,n,pl,m,pl,Филолозите изучаваха,шест,разпространени след,исторически,,историческите,завоевания,,език,езици,езика,,B,high,Филолозите изучаваха три разпространени след историческите завоевания,език,STE-027,Targets,target_STE-027_mono.wav,Targets/mono/target_STE-027_mono.wav,target1_P1_език_завоевание_шест_исторически_B,5,,,,,
,,target1,P2,завоевание,завоевания,завоевания,n,pl,m,pl,Филолозите изучаваха,шест,разпространени след,исторически,,,завоеванията,исторически,език,езици,езика,,A,high,Филолозите изучаваха три разпространени след завоеванията исторически,език,STE-028,Targets,target_STE-028_mono.wav,Targets/mono/target_STE-028_mono.wav,target1_P2_език_завоевание_шест_исторически_A,5,,,,,
,,target1,P1,момиче,момичета,момичета,n,pl,m,pl,Войниците положиха,седем,изплетени от,красиви,,красивите,момичета,,венец,венци,венеца,,A,high,Войниците положиха четири изплетени от красивите момичета,венец,STE-029,Targets,target_STE-029_mono.wav,Targets/mono/target_STE-029_mono.wav,target1_P1_венец_момиче_седем_красиви_A,5,,,,,
,,target1,P2,момиче,момичета,момичета,n,pl,m,pl,Войниците положиха,седем,изплетени от,красиви,,,момичетата,красиви,венец,венци,венеца,,B,high,Войниците положиха четири изплетени от момичетата красиви,венец,STE-030,Targets,target_STE-030_mono.wav,Targets/mono/target_STE-030_mono.wav,target1_P2_венец_момиче_седем_красиви_B,5,,,,,
,,target1,P1,дете,деца,деца,n,pl,m,pl,Докторът излекува,три,отглеждани от,обичливи,,обичливите,деца,,хамстер,хамстери,хамстера,,B,low,Докторът излекува пет отглеждани от обичливите деца,хамстер,STE-031,Targets,target_STE-031_mono.wav,Targets/mono/target_STE-031_mono.wav,target1_P1_хамстер_дете_три_обичливи_B,5,,,,,
,,target1,P2,дете,деца,деца,n,pl,m,pl,Докторът излекува,три,отглеждани от,обичливи,,,децата,обичливи,хамстер,хамстери,хамстера,,A,low,Докторът излекува пет отглеждани от децата обичливи,хамстер,STE-032,Targets,target_STE-032_mono.wav,Targets/mono/target_STE-032_mono.wav,target1_P2_хамстер_дете_три_обичливи_A,5,,,,,
,,target1,P1,обсъждане,обсъждания,обсъждания,n,pl,m,pl,Юристите промениха,шест,одобрени след,парламентарни,,парламентарните,обсъждания,,устав,устави,устава,,A,high,Юристите промениха шест одобрени след парламентарните обсъждания,устав,STE-033,Targets,target_STE-033_mono.wav,Targets/mono/target_STE-033_mono.wav,target1_P1_устав_обсъждане_шест_парламентарни_A,5,,,,,
,,target1,P2,обсъждане,обсъждания,обсъждания,n,pl,m,pl,Юристите промениха,шест,одобрени след,парламентарни,,,обсъжданията,парламентарни,устав,устави,устава,,B,high,Юристите промениха шест одобрени след обсъжданията парламентарни,устав,STE-034,Targets,target_STE-034_mono.wav,Targets/mono/target_STE-034_mono.wav,target1_P2_устав_обсъждане_шест_парламентарни_B,5,,,,,
,,target1,P1,отделение,отделения,отделения,n,pl,m,pl,Санитарите преброиха,седем,настанени в,спешни,,спешните,отделения,,случай,случаи,случая,,B,high,Санитарите преброиха седем настанени в спешните отделения,случай,STE-035,Targets,target_STE-035_mono.wav,Targets/mono/target_STE-035_mono.wav,target1_P1_случай_отделение_седем_спешни_B,5,,,,,
,,target1,P2,отделение,отделения,отделения,n,pl,m,pl,Санитарите преброиха,седем,настанени в,спешни,,,отделенията,спешни,случай,случаи,случая,,A,high,Санитарите преброиха седем настанени в отделенията спешни,случай,STE-036,Targets,target_STE-036_mono.wav,Targets/mono/target_STE-036_mono.wav,target1_P2_случай_отделение_седем_спешни_A,5,,,,,
,,filler1,P1,концерт,концерти,концерта,m,pl,f,pl,Комисията класира,две,участвали в,класически,,класическите,концерти,,цигуларка,цигуларки,цигуларки,,A,low,Комисията класира две участвали в класическите концерти,цигуларка,STE-001,Fillers1,filler1_STE-001_mono.wav,Fillers1/mono/filler1_STE-001_mono.wav,filler1_P1_цигуларка_концерт_две_класически_A,5,,,,,
,,filler1,P2,концерт,концерти,концерта,m,pl,f,pl,Комисията класира,две,участвали в,класически,,,концертите,класически,цигуларка,цигуларки,цигуларки,,B,low,Комисията класира две участвали в концертите класически,цигуларка,STE-002,Fillers1,filler1_STE-002_mono.wav,Fillers1/mono/filler1_STE-002_mono.wav,filler1_P2_цигуларка_концерт_две_класически_B,5,,,,,
,,filler1,P1,камък,камъни,камъка,m,pl,f,pl,Дърводелецът поправи,три,разбити с,тежки,,тежките,камъни,,врата,врати,врати,,B,low,Дърводелецът поправи три разбити с тежките камъни,врата,STE-003,Fillers1,filler1_STE-003_mono.wav,Fillers1/mono/filler1_STE-003_mono.wav,filler1_P1_врата_камък_три_тежки_B,5,,,,,
,,filler1,P2,камък,камъни,камъка,m,pl,f,pl,Дърводелецът поправи,три,разбити с,тежки,,,камъните,тежки,врата,врати,врати,,A,low,Дърводелецът поправи три разбити с камъните тежки,врата,STE-004,Fillers1,filler1_STE-004_mono.wav,Fillers1/mono/filler1_STE-004_mono.wav,filler1_P2_врата_камък_три_тежки_A,5,,,,,
,,filler1,P1,етикет,етикети,етикета,m,pl,f,pl,Пощальонът надписа,четири,облепени с,цветни,,цветните,етикети,,кутия,кутии,кутии,,A,low,Пощальонът надписа четири облепени с цветните етикети,кутия,STE-005,Fillers1,filler1_STE-005_mono.wav,Fillers1/mono/filler1_STE-005_mono.wav,filler1_P1_кутия_етикет_четири_цветни_A,5,,,,,
,,filler1,P2,етикет,етикети,етикета,m,pl,f,pl,Пощальонът надписа,четири,облепени с,цветни,,,етикетите,цветни,кутия,кутии,кутии,,B,low,Пощальонът надписа четири облепени с етикетите цветни,кутия,STE-006,Fillers1,filler1_STE-006_mono.wav,Fillers1/mono/filler1_STE-006_mono.wav,filler1_P2_кутия_етикет_четири_цветни_B,5,,,,,
,,filler1,P1,фонд,фондове,фонда,m,pl,f,pl,Министърът откри,пет,финансирани с,европейски,,европейските,фондове,,магистрала,магистрали,магистрали,,B,high,Министърът откри пет финансирани с европейските фондове,магистрала,STE-007,Fillers1,filler1_STE-007_mono.wav,Fillers1/mono/filler1_STE-007_mono.wav,filler1_P1_магистрала_фонд_пет_европейски_B,5,,,,,
,,filler1,P2,фонд,фондове,фонда,m,pl,f,pl,Министърът откри,пет,финансирани с,европейски,,,фондовете,европейски,магистрала,магистрали,магистрали,,A,high,Министърът откри пет финансирани с фондовете европейски,магистрала,STE-008,Fillers1,filler1_STE-008_mono.wav,Fillers1/mono/filler1_STE-008_mono.wav,filler1_P2_магистрала_фонд_пет_европейски_A,5,,,,,
,,filler1,P1,лъв,лъвове,лъва,m,pl,f,pl,Операторът засне,шест,подгонени от,диви,,дивите,лъвове,,зебра,зебри,зебри,,A,high,Операторът засне шест подгонени от дивите лъвове,зебра,STE-009,Fillers1,filler1_STE-009_mono.wav,Fillers1/mono/filler1_STE-009_mono.wav,filler1_P1_зебра_лъв_шест_диви_A,5,,,,,
,,filler1,P2,лъв,лъвове,лъва,m,pl,f,pl,Операторът засне,шест,подгонени от,диви,,,лъвовете,диви,зебра,зебри,зебри,,B,high,Операторът засне шест подгонени от лъвовете диви,зебра,STE-010,Fillers1,filler1_STE-010_mono.wav,Fillers1/mono/filler1_STE-010_mono.wav,filler1_P2_зебра_лъв_шест_диви_B,5,,,,,
,,filler1,P1,град,градове,града,m,pl,f,pl,Пътешествениците посетиха,седем,прочути с,развити,,развитите,градове,,страна,страни,страни,,B,high,Пътешествениците посетиха седем прочути с развитите градове,страна,STE-011,Fillers1,filler1_STE-011_mono.wav,Fillers1/mono/filler1_STE-011_mono.wav,filler1_P1_страна_град_седем_развити_B,5,,,,,
,,filler1,P2,град,градове,града,m,pl,f,pl,Пътешествениците посетиха,седем,прочути с,развити,,,градовете,развити,страна,страни,страни,,A,high,Пътешествениците посетиха седем прочути с градовете развити,страна,STE-012,Fillers1,filler1_STE-012_mono.wav,Fillers1/mono/filler1_STE-012_mono.wav,filler1_P2_страна_град_седем_развити_A,5,,,,,
,,filler1,P1,щат,щати,щата,m,pl,f,pl,Учителят показваше,две,пресичащи,източни,,източните,щати,,планина,планини,планини,,A,low,Учителят показваше две пресичащи източните щати,планина,STE-013,Fillers1,filler1_STE-013_mono.wav,Fillers1/mono/filler1_STE-013_mono.wav,filler1_P1_планина_щат_две_източни_A,4,,,,,
,,filler1,P2,щат,щати,щата,m,pl,f,pl,Учителят показваше,две,пресичащи,източни,,,щатите,източни,планина,планини,планини,,B,low,Учителят показваше две пресичащи щатите източни,планина,STE-014,Fillers1,filler1_STE-014_mono.wav,Fillers1/mono/filler1_STE-014_mono.wav,filler1_P2_планина_щат_две_източни_B,4,,,,,
,,filler1,P1,магазин,магазини,магазина,m,pl,f,pl,Съпругата хареса,три,купени от,скъпи,,скъпите,магазини,,огърлица,огърлици,огърлици,,B,low,Съпругата хареса три купени от скъпите магазини,огърлица,STE-015,Fillers1,filler1_STE-015_mono.wav,Fillers1/mono/filler1_STE-015_mono.wav,filler1_P1_огърлица_магазин_три_скъпи_B,5,,,,,
,,filler1,P2,магазин,магазини,магазина,m,pl,f,pl,Съпругата хареса,три,купени от,скъпи,,,магазините,скъпи,огърлица,огърлици,огърлици,,A,low,Съпругата хареса три купени от магазините скъпи,огърлица,STE-016,Fillers1,filler1_STE-016_mono.wav,Fillers1/mono/filler1_STE-016_mono.wav,filler1_P2_огърлица_магазин_три_скъпи_A,5,,,,,
,,filler1,P1,митинг,митинги,митинга,m,pl,f,pl,Програмата включваше,четири,организирани след,разрешени,,разрешените,митинги,,дискусия,дискусии,дискусии,,A,low,Програмата включваше четири организирани след разрешените митинги,дискусия,STE-017,Fillers1,filler1_STE-017_mono.wav,Fillers1/mono/filler1_STE-017_mono.wav,filler1_P1_дискусия_митинг_четири_разрешени_A,5,,,,,
,,filler1,P2,митинг,митинги,митинга,m,pl,f,pl,Програмата включваше,четири,организирани след,разрешени,,,митингите,разрешени,дискусия,дискусии,дискусии,,B,low,Програмата включваше четири организирани след митингите разрешени,дискусия,STE-018,Fillers1,filler1_STE-018_mono.wav,Fillers1/mono/filler1_STE-018_mono.wav,filler1_P2_дискусия_митинг_четири_разрешени_B,5,,,,,
,,filler1,P1,списание,списания,списания,n,pl,f,pl,Курсистите разискваха,пет,публикувани в,научни,,научните,списания,,статия,статии,статии,,B,high,Курсистите разискваха пет публикувани в научните списания,статия,STE-019,Fillers1,filler1_STE-019_mono.wav,Fillers1/mono/filler1_STE-019_mono.wav,filler1_P1_статия_списание_пет_научни_B,5,,,,,
,,filler1,P2,списание,списания,списания,n,pl,f,pl,Курсистите разискваха,пет,публикувани в,научни,,,списанията,научни,статия,статии,статии,,A,high,Курсистите разискваха пет публикувани в списанията научни,статия,STE-020,Fillers1,filler1_STE-020_mono.wav,Fillers1/mono/filler1_STE-020_mono.wav,filler1_P2_статия_списание_пет_научни_A,5,,,,,
,,filler1,P1,винтче,винтчета,винтчета,n,pl,f,pl,Работниците развинтиха,шест,закачени с,метални,indef,метални,винтчета,,лампа,лампи,лампи,,A,high,Работниците развинтиха шест закачени с метални винтчета,лампа,STE-021,Fillers1,filler1_STE-021_mono.wav,Fillers1/mono/filler1_STE-021_mono.wav,filler1_P1_лампа_винтче_шест_метални_A,5,,,,,
,,filler1,P2,винтче,винтчета,винтчета,n,pl,f,pl,Работниците развинтиха,шест,закачени с,метални,indef,,винтчета,метални,лампа,лампи,лампи,,B,high,Работниците развинтиха шест закачени с винтчета метални,лампа,STE-022,Fillers1,filler1_STE-022_mono.wav,Fillers1/mono/filler1_STE-022_mono.wav,filler1_P2_лампа_винтче_шест_метални_B,5,,,,,
,,filler1,P1,наводнение,наводнения,наводнения,n,pl,f,pl,Инженерите овладяха,седем,прелели след,бурни,,бурните,наводнения,,река,реки,реки,,B,high,Инженерите овладяха седем прелели след бурните наводнения,река,STE-023,Fillers1,filler1_STE-023_mono.wav,Fillers1/mono/filler1_STE-023_mono.wav,filler1_P1_река_наводнение_седем_бурни_B,5,,,,,
,,filler1,P2,наводнение,наводнения,наводнения,n,pl,f,pl,Инженерите овладяха,седем,прелели след,бурни,,,наводненията,бурни,река,реки,реки,,A,high,Инженерите овладяха седем прелели след наводненията бурни,река,STE-024,Fillers1,filler1_STE-024_mono.wav,Fillers1/mono/filler1_STE-024_mono.wav,filler1_P2_река_наводнение_седем_бурни_A,5,,,,,
,,filler1,P1,вещество,вещества,вещества,n,pl,f,pl,Изобретателите анализираха,две,изградени от,сложни,indef,сложни,вещества,,молекула,молекули,молекули,,A,low,Изобретателите анализираха две изградени от сложни вещества,молекула,STE-025,Fillers1,filler1_STE-025_mono.wav,Fillers1/mono/filler1_STE-025_mono.wav,filler1_P1_молекула_вещество_две_сложни_A,5,,,,,
,,filler1,P2,вещество,вещества,вещества,n,pl,f,pl,Изобретателите анализираха,две,изградени от,сложни,indef,,вещества,сложни,молекула,молекули,молекули,,B,low,Изобретателите анализираха две изградени от вещества сложни,молекула,STE-026,Fillers1,filler1_STE-026_mono.wav,Fillers1/mono/filler1_STE-026_mono.wav,filler1_P2_молекула_вещество_две_сложни_B,5,,,,,
,,filler1,P1,ястие,ястия,ястия,n,pl,f,pl,Домакинът сервира,три,приготвени във,вкусни,indef,вкусни,ястия,,риба,риби,риби,,B,low,Домакинът сервира три приготвени във вкусни ястия,риба,STE-027,Fillers1,filler1_STE-027_mono.wav,Fillers1/mono/filler1_STE-027_mono.wav,filler1_P1_риба_ястие_три_вкусни_B,5,,,,,
,,filler1,P2,ястие,ястия,ястия,n,pl,f,pl,Домакинът сервира,три,приготвени в,вкусни,indef,,ястия,вкусни,риба,риби,риби,,A,low,Домакинът сервира три приготвени в ястия вкусни,риба,STE-028,Fillers1,filler1_STE-028_mono.wav,Fillers1/mono/filler1_STE-028_mono.wav,filler1_P2_риба_ястие_три_вкусни_A,5,,,,,
,,filler1,P1,нападение,нападения,нападения,n,pl,f,pl,Полицаите заловиха,четири,извършили,ужасни,,ужасните,нападения,,престъпничка,престъпнички,престъпнички,,A,low,Полицаите заловиха четири извършили ужасните нападения,престъпничка,STE-029,Fillers1,filler1_STE-029_mono.wav,Fillers1/mono/filler1_STE-029_mono.wav,filler1_P1_престъпничка_нападение_четири_ужасни_A,4,,,,,
,,filler1,P2,нападение,нападения,нападения,n,pl,f,pl,Полицаите заловиха,четири,извършили,ужасни,,,нападенията,ужасни,престъпничка,престъпнички,престъпнички,,B,low,Полицаите заловиха четири извършили нападенията ужасни,престъпничка,STE-030,Fillers1,filler1_STE-030_mono.wav,Fillers1/mono/filler1_STE-030_mono.wav,filler1_P2_престъпничка_нападение_четири_ужасни_B,4,,,,,
,,filler1,P1,обжалване,обжалвания,обжалвания,n,pl,f,pl,Демонстрантите нарушиха,пет,издадени след,спорни,,спорните,обжалвания,,заповед,заповеди,заповеди,,B,high,Демонстрантите нарушиха пет издадени след спорните обжалвания,заповед,STE-031,Fillers1,filler1_STE-031_mono.wav,Fillers1/mono/filler1_STE-031_mono.wav,filler1_P1_заповед_обжалване_пет_спорни_B,5,,,,,
,,filler1,P2,обжалване,обжалвания,обжалвания,n,pl,f,pl,Демонстрантите нарушиха,пет,издадени след,спорни,,,обжалванията,спорни,заповед,заповеди,заповеди,,A,high,Демонстрантите нарушиха пет издадени след обжалванията спорни,заповед,STE-032,Fillers1,filler1_STE-032_mono.wav,Fillers1/mono/filler1_STE-032_mono.wav,filler1_P2_заповед_обжалване_пет_спорни_A,5,,,,,
,,filler1,P1,провинение,провинения,провинения,n,pl,f,pl,Съветът изключи,шест,наказани след,лоши,,лошите,провинения,,ученичка,ученички,ученички,,A,high,Съветът изключи шест наказани след лошите провинения,ученичка,STE-033,Fillers1,filler1_STE-033_mono.wav,Fillers1/mono/filler1_STE-033_mono.wav,filler1_P1_ученичка_провинение_шест_лоши_A,5,,,,,
,,filler1,P2,провинение,провинения,провинения,n,pl,f,pl,Съветът изключи,шест,наказани след,лоши,,,провиненията,лоши,ученичка,ученички,ученички,,B,high,Съветът изключи шест наказани след провиненията лоши,ученичка,STE-034,Fillers1,filler1_STE-034_mono.wav,Fillers1/mono/filler1_STE-034_mono.wav,filler1_P2_ученичка_провинение_шест_лоши_B,5,,,,,
,,filler1,P1,заледяване,заледявания,заледявания,n,pl,f,pl,Изследователите намериха,седем,оцелели след,полярни,,полярните,заледявания,,мечка,мечки,мечки,,B,high,Изследователите намериха седем оцелели след полярните заледявания,мечка,STE-035,Fillers1,filler1_STE-035_mono.wav,Fillers1/mono/filler1_STE-035_mono.wav,filler1_P1_мечка_заледяване_седем_полярни_B,5,,,,,
,,filler1,P2,заледяване,заледявания,заледявания,n,pl,f,pl,Изследователите намериха,седем,оцелели след,полярни,,,заледяванията,полярни,мечка,мечки,мечки,,A,high,Изследователите намериха седем оцелели след заледяванията полярни,мечка,STE-036,Fillers1,filler1_STE-036_mono.wav,Fillers1/mono/filler1_STE-036_mono.wav,filler1_P2_мечка_заледяване_седем_полярни_A,5,,,,,
